title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Female,1933,24008,6056,3,6.7,1912.0,60,Comedy,Drama,Romance
Footlight Parade,1933,24028,802,3,7.5,6072.0,104,Comedy,Musical,Romance
Gold Diggers of 1933,1933,24069,5916,3,7.7,9122.0,97,Comedy,Drama,Musical
"Invisible Man, The",1933,24184,7450,1,7.6,39813.0,71,Horror,Sci-Fi,
"Kennel Murder Case, The",1933,24210,10492,1,6.8,4060.0,73,Crime,Drama,Mystery
King Kong,1933,24216,2229,0,7.9,90689.0,100,Adventure,Horror,Sci-Fi
Little Women,1933,24264,2231,3,7.2,7916.0,115,Drama,Family,Romance
"Private Life of Henry VIII., The",1933,24473,1248,1,7.0,4843.0,97,Biography,Drama,
Queen Christina,1933,24481,1330,3,7.5,8585.0,99,Biography,Drama,Romance
She Done Him Wrong,1933,24548,10702,2,6.3,7018.0,66,Comedy,Drama,History
Sons of the Desert,1933,24601,10714,3,7.5,9555.0,68,Comedy,Family,
Tomorrow at Seven,1933,24679,5752,3,5.6,405.0,62,Comedy,Crime,Drama
"Vampire Bat, The",1933,24727,3210,3,5.7,3036.0,65,Drama,Horror,Mystery
Anne of Green Gables,1934,24831,5319,3,7.0,1441.0,78,Comedy,Drama,Family
"Cat&#39;s-Paw, The",1934,24961,1324,1,6.6,1375.0,102,Comedy,,
Cleopatra,1934,24991,1270,1,6.8,4590.0,100,Biography,Drama,History
"Count of Monte Cristo, The",1934,25004,1246,1,7.4,3229.0,113,Action,Adventure,Drama
Evelyn Prentice,1934,25091,6772,3,6.9,1862.0,79,Drama,Mystery,Romance
Imitation of Life,1934,25301,7999,3,7.5,5618.0,111,Comedy,Drama,Romance
It Happened One Night,1934,25316,621,3,8.1,111929.0,105,Comedy,Romance,
It&#39;s a Gift,1934,25318,10824,3,7.1,5746.0,68,Comedy,,
L&#39;atalante,1934,24844,1795,0,7.7,17421.0,89,Comedy,Drama,Romance
"Lost Patrol, The",1934,25423,1969,0,6.8,3592.0,73,Action,Adventure,Drama
Lost in the Stratosphere,1934,25424,5523,2,4.3,136.0,64,Action,Adventure,Comedy
"Man Who Knew Too Much, The",1934,25452,7304,3,6.7,21077.0,75,Crime,Mystery,Thriller
Maniac,1934,25465,4702,3,3.7,2700.0,51,Horror,Sci-Fi,
Mystery Liner,1934,25543,8653,0,4.6,509.0,62,Adventure,Mystery,
Of Human Bondage,1934,25586,1379,1,7.0,8348.0,83,Drama,Romance,
"Painted Veil, The",1934,25617,1329,1,6.5,1711.0,85,Drama,Romance,
"Scarlet Empress, The",1934,25746,1325,3,7.5,7219.0,104,Drama,History,Romance
Search for Beauty,1934,25755,5821,3,6.1,736.0,78,Comedy,Crime,Romance
Spitfire,1934,25822,4443,3,5.4,901.0,87,Drama,,
"39 Steps, The",1935,26029,1242,3,7.6,61362.0,86,Crime,Mystery,Thriller
A Night At The Opera,1935,26778,3881,1,7.8,34695.0,96,Comedy,Music,Musical
Anna Karenina,1935,26071,1261,2,7.0,5769.0,95,Drama,Romance,
"Bride of Frankenstein, The",1935,26138,3891,3,7.8,53089.0,75,Drama,Horror,Sci-Fi
"Lady in Scarlet, The",1935,26599,5750,2,6.0,186.0,65,Mystery,Romance,
Mad Love,1935,26663,7998,2,7.2,5858.0,68,Horror,Romance,Sci-Fi
Magnificent Obsession,1935,26667,2756,3,6.8,1116.0,112,Drama,Romance,
Mutiny on the Bounty,1935,26752,1361,1,7.6,24772.0,132,Adventure,Biography,Drama
Naughty Marietta,1935,26768,1685,3,6.5,1532.0,105,Drama,Musical,Romance
"Riverside Murder, The",1935,26939,5913,2,5.8,365.0,64,Crime,Mystery,
Roberta,1935,26942,2362,3,7.0,3636.0,106,Comedy,Musical,Romance
Top Hat,1935,27125,595,2,7.7,20654.0,101,Comedy,Musical,Romance
Born to Dance,1936,27387,2363,3,6.7,1919.0,106,Comedy,Musical,Romance
Bullets or Ballots,1936,27407,4143,3,7.0,3440.0,82,Crime,Drama,Film-Noir
Camille,1936,28683,3598,3,7.3,8723.0,109,Drama,Romance,
"Charge of the Light Brigade, The",1936,27438,1237,1,7.0,5463.0,115,Action,Adventure,Romance
Dracula&#39;s Daughter,1936,27545,7992,3,6.3,7965.0,71,Drama,Fantasy,Horror
Earthworm Tractors,1936,27562,2699,1,6.3,495.0,69,Comedy,,
Fury,1936,27652,6096,2,7.8,13686.0,92,Crime,Drama,Film-Noir
"Great Ziegfeld, The",1936,27698,3401,3,6.6,8962.0,176,Drama,Musical,
"Mandarin Mystery, The",1936,29207,3548,3,5.3,453.0,66,Comedy,Crime,Film-Noir
